Name,"Sub-Title (i.e. Location, Table/Booth, or Title/Sponsorship Level)",Description (Optional),Location/Room
Rainbow Lion Designs,,http://rainbowliondesigns.storenvy.com/,Artist Alley
Silver Kitsune Studio,,http://studiokitsune.deviantart.com/,Artist Alley
Tiny T-Rex Studio,,http://www.tinytrexstudios.com/,Artist Alley
Ranefe,,http://ranefea.com/,Artist Alley
Kumateworks,,http://kumateworks.com/,Artist Alley
CraftOtaku,,http://store.craftotaku.com/   http://s0nicfreak.deviantart.com/,Artist Alley
Berry Blitz,,"Berry Blitz Studio brings you cute and colorful vector art that's totally sweet! From fun fanart to adorable originals, you're sure to find something you'll love!",Artist Alley
Sanzaki Kojika,,http://kojika.deviantart.com/  http://kojika.comicgenesis.com/,Artist Alley
The Roots of Design,,,Artist Alley
Rubber Punk Producktions,,"Your spot for hot geek chic! We have buttons and t-shirts for your body to scream, ""I'm awesome!!"". We have artwork so your walls can scream, ""I'm awesome!!"". We have comics so funny that your mind will be blown and all you'll be able to do is stand, frozen, in a puddle of drool, eyes wide, muttering, ""This is awesome…"". Please stop by, say hi, and maybe get an on the spot caricature!",Artist Alley
Tobie1kenobi,,,Artist Alley
