Session Title,Date,Time Start,Time End,Room/Location,Description (Optional)
Akitas: Natural Treasure of Japan,9/23/2016,02:30PM,04:00PM,Big Panel Room,"Come and meet th inspiration for the movie ""Hachiko"" in living, breathing, furry person! The Akitas, companion to samurai for generations, are here for your enjoyment. Naya and Kuma, pureblood Japanese Akita-Ken, demonstrate and enlighten congoers. Hosted by their humans, Samurai Dan and Jillian."
voice acting 101 w Eric Stuart,9/23/2016,04:30PM,05:30PM,Big Panel Room,"A discussion on the audition process. How to choose a character voice. Taking direction. Why good acting is more important than a funny voice. The recording process, both ADR and pre-lay. Do I need a demo reel and how do I make one? "
Harp Twins Concert,9/23/2016,06:30PM,07:30PM,Big Panel Room,"Harp, like you've never seen or heard it before! Sailor Moon to Iron Maiden - come rock out with the Harp Twins! Camille and Kennerly Kitt, known as the HARP TWINS, have achieved extraordinary success by taking Electric Harps and acoustic Concert Grand Harps to unprecedented levels and smashing boundaries between different genres of music. The duo has amassed over 700,000 fans across their social media sites and over 35 million views on their YouTube music videos, making Camille and Kennerly the most followed and recognizable harp duo in the world. Mixing their virtuoso harp skills with their stunningly complex arrangements of rock, metal, and soundtrack hits, the Harp Twins deliver exciting and interactive performances audiences cannot forget! "
 Analecta Concert,9/23/2016,08:00PM,09:00PM,Big Panel Room,Rock out with Analecta 
pillow fight,9/23/2016,09:30PM,11:30PM,Big Panel Room,"Have you ever had a pillow fight between your closest friends? If not, then join us for all that fun without the mess. I ask that no cosplays be worn or props be brought into the room. I DO NOT WANT THEM TO GET RUINED, NOR DO I WANT ANYBODY TO GET HURT BY THEM! 
(Soft rice plushies will be in the room to use as your projectiles, so no outside pillows) 
"
 Samurai Dan: 'i'm so dumb' 18+,9/24/2016,12:00AM,01:30AM,Big Panel Room,"Anime cons are a world unto themselves, and in this comedy standup, Samurai Dan relives his painful learning experiences in the con scene.

For the safety and the safety of other, we are not letting anyone video tape or take photos in any 18+ events. Also, Anyone caught with a camera or recording device will have to delete the footage (if deemed inappropriat content), and , if said device is not put away, the person or persons resonsible will be removed for the event and/or removed from Ramencon 2016. "
Cards Against Humanity with Samuria Dan 18+,9/24/2016,02:00AM,03:30AM,Big Panel Room,"You've played CAH, right? Everyone has. You can admit it. Come play the game with Samurai Dan, his way, where the attendees are pitted against the guests in a no-hold-barred contest of wit and inappropriateness!

For the safety and the safety of other, we are not letting anyone video tape or take photos in any 18+ events. Also, Anyone caught with a camera or recording device will have to delete the footage (if deemed inappropriat content), and , if said device is not put away, the person or persons resonsible will be removed for the event and/or removed from Ramencon 2016. "
Geeked Ink Tattoos in Fandom,9/23/2016,01:00PM,02:00PM,Panel Room 1,Share your tattoos and the fandom love that inspired them! 
Costume Construction Basics,9/23/2016,02:30PM,03:30PM,Panel Room 1,"Don't know a button from a bobbin? Not to worry! This panel will take you through the very basics of costume construction, from basic equipment to fabric selection. "
For Parents of Geeks,9/23/2016,04:00PM,05:00PM,Panel Room 1,"With depression on the rise, many parents are seeing their relationships with their kids fall apart - and sometimes it seems like geeky culture is a source of confusion, if not contention. Filled with stories and confessions from real families, this panel offers answers to common questions about fandoms, cons, social anxiety, and more. There will also be an open Q&A time for both parents and kids to share their thoughts and feelings."
Steven Universe,9/23/2016,05:30PM,07:00PM,Panel Room 1,"An open discussions about Steven Universe basic theories, the show, and the characters. We'll also be doing a cosplay photoshoot!"
First steps into being a DJ,9/23/2016,07:30PM,08:30PM,Panel Room 1,"Learn the DJ craft! Covering the basics, from choosing your equipment to making your first mix. ""disclaimer: Does not contain Vitamin C or D"""
Karaoke,9/23/2016,09:00PM,12:00AM,Panel Room 1,"Get those vocal chords ready for a night filled with anime-style karaoke! This event will feature over a thousand anime-related songs on-hand for you to choose from, or you can bring your own iPod or CD with music. Bring your friends and sing the night away! Whether you plan to sing or just want to sit back and be entertained, this is something you won't want to miss! "
Evolution of Horror 18+,9/24/2016,01:00AM,02:00AM,Panel Room 1,a group discussion about horror genre in various types of media and how the genre has changed over the years 
Full Metal Panel,9/23/2016,11:30AM,01:30PM,Panel Room 2,Do you want to be a State Alchemist? Join us in our open house as we answer questions about what it takes to get in with multiple surprises along the way! 
Anthropomorphizing the Mundane: Five Fictional Objects that messes us up,9/23/2016,02:00PM,03:00PM,Panel Room 2,"Were you convinced that your shoes were lonely for each other if you didn't leave them together? Did you always suspect your toys came to life while you slept? I was! If you were as horrified by The Brave Little Toaster as i was, this is the panel for you! The cute shoe from Roger Rabbit? Toy Story?? Oh, my god, you guys! I'm going to bring tissues. Really. Tissues to the panel! "
RamenConstruction - Super Mario Maker,9/23/2016,03:30PM,04:30PM,Panel Room 2,"Ramencon's first Super Mario Maker panel! Attendees will form ""construction squads"" that will work together to form sections of what will be Ramencon 2016's official Super Mario Maker level. There will also be a brief presentation showing tips, tricks, and other things you may not know about the game. If we're lucky enough, Chris himself may even play our level at the end of the convention! You won't want to miss being a part of this experience. "
Anime Name that Tune,9/23/2016,05:00PM,07:00PM,Panel Room 2,"You know you love it: Guess the anime tune and you can win some swag! ""The Chumps"" host this year's Anime Name that Tune! Brush up on your anime music knowledge and be on your toes - you never know when recognizing the 13th opening to Fairy Tail will come in handy! "
Quiz de Pon,9/23/2016,07:30PM,09:30PM,Panel Room 2,"Welcome to Quiz de Pon! ""The Chumps"" are back to tease your brain and goad you into multiple rounds of ""guess chicken."" We provide the questions, you provide the answers. With enough knowledge (or LUK stat) you could walk away with some free swag. So come on down! You could be the next contestant at Quiz de Pon! ."
Right in the Feels,9/23/2016,10:00PM,11:00PM,Panel Room 2,"why do movies/anime/media makers feel compelled to make us cry with sad, hurt animals? Do they feed on human tears? I will share with you my own top tear-jerkers, and listen as you share your own! Forewarning: Fry's Freaking Dog in on the list. "
 Quiz de Pon Bigger Harder 18+er,9/23/2016,11:30PM,01:30AM,Panel Room 2,"Time for ""The Chumps"" to go Super Saiyan. Join us for a night of debauchery as we quiz you on... different... aspects of Japanese animation. We ask you questions, you answer them. Enjoy the more hilarious side of Quiz de Pon! Make sure to have your ID ready - you'll need it! [18+]

For the safety and the safety of other, we are not letting anyone video tape or take photos in any 18+ events. Also, Anyone caught with a camera or recording device will have to delete the footage (if deemed inappropriat content), and , if said device is not put away, the person or persons resonsible will be removed for the event and/or removed from Ramencon 2016. "
18+ Anime Underground After Dark 3,9/24/2016,02:00AM,03:00AM,Panel Room 2,"Anime Underground is back for its 4th year at Ramencon! Prepare yourself for insane entertainment! Anime Underground is a 1 1/2 hour-long video featuring a mix of funny anime clips, abridged series clips, Japanese commercials, AMV segments, AMV Hell, AMV minis, cosplay videos, parodies, old Toonami & Adult Swim promos, and much more! Be sure to bring a sense of humor and love for all things Japanese. This panel is 18+ due to mature content, so be sure to bring your ID! [18+]

For the safety and the safety of other, we are not letting anyone video tape or take photos in any 18+ events. Also, Anyone caught with a camera or recording device will have to delete the footage (if deemed inappropriat content), and , if said device is not put away, the person or persons resonsible will be removed for the event and/or removed from Ramencon 2016. "
Hikaru no Go: Tackling Japanese Tradition,9/23/2016,11:30AM,01:00PM,Panel Room 3,"Learn how to play Go, Mahjong, and Hanafuda with the geniuses Hikaru Shindou, Fujiwara-no-Sai, and Akira Touya! Furthermore, up your game with some cultural knowledge about Heian Period Japan and the world of ""Hikaru no Go!"" "
Super Hero Time A Tale of Two Tokus,9/23/2016,01:30PM,03:00PM,Panel Room 3,"""Super powered, hero time! Let's make it showy! This is my stage now!"" These are words that make tokusatsu fans' hearts sing, but what if you don't know of Super Sentai or Kamen Rider? What if you have never heard the word tokusatsu until five seconds ago? Covering a history spanning over 40 years, this panel is intended to help bring you into the fold of Japanese Super Heroes. We'll help you understand Sentai and Kamen Rider and induct you into the fandom. Now, Leeeet's Go-on and Henshin! "
Paint for the Back Row Makeup for Cosplay,9/23/2016,03:30PM,05:30PM,Panel Room 3,Are you frustrated with your liquid eyeliner? Trying to contour but end up looking dirty? Does your makeup cause you to break out no matter WHAT you do? What if I told you that the solutions to all these problems and more are only a panel away? Come learn with Grey and Reagan of rTheta as they share what they've learned through their experiences with makeup! All genders are welcome. 
We Can Make Cosplay Out of Anything,9/23/2016,06:00PM,08:00PM,Panel Room 3,"""There are so many cosplays I want to make, but I can't afford supplies!"" Well you're in luck, because we can make a cosplay out of anything - and we'll prove it! We made several cosplays multiple times, all using different (and sometimes absurd) materials. Come see and feel for yourself! "
 Autograph with Jad Saxton,9/23/2016,08:30PM,09:30PM,Panel Room 3,Come on by and get autographs with Jad Saxton! Be sure to bring something with you to be signed. Limit of two items per person. Thank you
Jad Saxton Q&A Panel,9/23/2016,09:30PM,10:30PM,Panel Room 3,answering all attendees' questions about the anime industry and voice acting business in general. 
Autograph Jake Paque,9/23/2016,11:00PM,12:00AM,Panel Room 3,Come on by and get autographs with Jake Paque! Be sure to bring something with you to be signed. Limit of two items per person. Thank you.
Content Creation with Jake Paque,9/24/2016,12:00AM,01:00AM,Panel Room 3,"A panel on getting things made! Jake has experience writing, developing and producing content across numerous platforms. From scripted digital video content to live streams, to blogs and podcasts. In the panel we'll discuss the creative process, collaborating with other artists, releasing content and even workshop a few ideas people bring in! "
Underground Amiibo Fights,9/24/2016,01:30AM,03:30AM,Panel Room 3,"BRING YOUR SMASH AMIIBOS and enter the intense world of Underground Amiibo Fights. Push your amiibo to its limits and test how well you've trained them in this, the pinnacle of World Wide Amiibo Entertainment. Prizes for tournament winners. Spectators welcome. "
Ramencons All Style Dance Battle 1v1 AKA Floor Wars ,9/23/2016,03:00PM,05:30PM,Atrium,"If you think you have what it takes to battle it out through dance and passion, then bring your style and originality to the battlefield! "
Werewolf,9/23/2016,08:00PM,10:00PM,Atrium,"Come out at night to play Werewolf with the Ramencon 2016 Cosplay Guests. Bring your friends, but be careful who you trust, they just might end up with your life. (In game.) "
 The Horrible World of Martial Arts,9/23/2016,11:00PM,12:00AM,Atrium,"In this panel, we will discuss the Good, The Bad, and Ugly of martial arts, with a focus on The Bad and The Ugly. We'll parse the thin layers of reality from the bloat of pop culture, mythology, and misconception. Are ninjas real? Is Kung Fu magic? Will karate make your son get better grades? The answer to all these questions and more is ""no."" "
Cosplay Chess,9/24/2016,11:00AM,01:00PM,Main Room,"Do you want to see your favorite characters fight each other? Thanks to Cosplay Chess, now you can! No one knows what will happen when two players move the human pieces across a giant chessboard. Cosplay Chess is back for a second year, and we are hoping that you enjoy it once again! "
Lolita Fashion Show,9/24/2016,01:30PM,02:30PM,Main Room,"Come watch Ramencon's loveliest catwalk with the 2016 Lolita Fashion Show! Outfits from the fashion's leading brands, along with several indie designers, will be featured in this visual tour of the art. The show will include a fun history of lolita and features on several unique subgenres of the fashion. "
Autograph With Spike Spencer,9/24/2016,03:00PM,04:00PM,Main Room,Come on by and get autographs with Spike Spencer! Be sure to bring something with you to be signed. Limit of two items per person. Thank you. 
Harp Twins Concert,9/24/2016,04:30PM,05:30PM,Main Room,"Harp, like you've never seen or heard it before! Sailor Moon to Iron Maiden - come rock out with the Harp Twins! Camille and Kennerly Kitt, known as the HARP TWINS, have achieved extraordinary success by taking Electric Harps and acoustic Concert Grand Harps to unprecedented levels and smashing boundaries between different genres of music. The duo has amassed over 700,000 fans across their social media sites and over 35 million views on their YouTube music videos, making Camille and Kennerly the most followed and recognizable harp duo in the world. Mixing their virtuoso harp skills with their stunningly complex arrangements of rock, metal, and soundtrack hits, the Harp Twins deliver exciting and interactive performances audiences cannot forget! "
Cosplay Catwalk,9/24/2016,06:00PM,08:00PM,Main Room,"Come one, come all to the most fantastic event around - the Ramencon Cosplay Catwalk! This event is like most cons' craftsmanship masquerade and skit contests, but we're putting a new twist on this convention classic by making it more of a positive party atmosphere without sacrificing any of the appreciation for hard work and passion for cosplay! All entrants must be registered attendees with badges.

Our Cosplay Catwalk (cosplay contest) will be pre-judged. This means that before the actual event, contestants will be judged in a separate room. Therefore, during the actual cosplay walk-on, there will be no interruptions. This will make it easier for the contestants and will allow for more hands-on judging.

To be able to enter this event, you will have to have made 75% or more of your costume from scratch. For these craftsmanship entrants, there will be novice and advanced ranks, which we will help you determine based on your preference and experience. We will explain what we expect of each level so that you feel comfortable competing in the appropriate rank.

There also will be a found-item category, or category for pieced-together costumes. The garments must be altered by you in some way (so don't just buy a school uniform costume and enter as a ""school girl""). Examples of alterations include cutting off jacket sleeves, dyeing the fabric, embellishing it with beads, adding stripes to pants, etc. NO commissioned or bought ""ready-to-wear"" costumes are eligible. If a friend, family member, etc. made the costume, they must be present for the interview with you as the model. Any awards will be given to the creator of the costume by default.

Craftsmanship Judging and Walk-Ons

*Interview slots are first-come-first-serve! If you have a tight schedule, please schedule ahead of time or register at the con early!*

For craftsmanship judging, please do not come ""in character"" for the interviews; just be yourself! We strongly encourage bringing along reference pictures of your character/cosplay. We WILL have a laptop for emergency purposes only. The more time we have to spend looking up your character/cosplay, the less time we will have to talk about your costume. Interviews will be given up to five minutes, and we will have many questions prepared, but not all entries will need the full time to complete judging.

When it comes to walk-ons, we want you to get out there, ham it up, and have a blast! There will also be points given during the walk-on to encourage cosplayers to be enthusiastic during the catwalk. We also want the audience to really enjoy the show and the costumes, so we ask that each entry make about three poses, 10 seconds each. Do not take anything on stage that you cannot remove during your 30 second time limit. If you need assistance in entering/exiting the stage due to a large costume or physical disability, special arrangements can be made.

Skits

Skits must be no more than four minutes in length (including any time needed for set up and clean up), and all skits are subject to approval. Content MUST be PG-13. For safety reasons, we cannot allow extreme stunts, such as acrobatics, firework or light effects, and intense fake fighting. Examples of skits include parodies, original stories, crossover scenarios, etc. Songs or dances are also allowed, but we ask that you make a short intro and outro of sorts, like an anecdote, so that it appears more like a skit and less like karaoke or a para para panel.

Skits must relate to the theme of the convention: anything to do with cosplay, anime characters, video game reenactments, or standup comedy featuring convention jokes. Any reenactment must be from a relevant media, such as anime, video games, cartoons, etc., they cannot be reenactments of other skits or parodies from online. In other words, do not ""re-perform"" a skit that has been performed at another event. Even if it is your skit - bring something new! Skits are eligible for skit awards and will be judged unless otherwise stated. "
DON'T KILL YOUR DATE (AND OTHER COOKING TIPS),9/24/2016,08:30PM,09:30PM,Main Room,"
Spike shares some of his recipes, recommendations and tips from his dating/relationship information site www.DontKillYourDate.com. And Spike will dish about his saucy adventures around the globe and his insights and misadventures on the world of dating and other such ridiculosities (no, not a typo). 18 and up only recommended. "
Neko Nocturne Rave,9/24/2016,10:30PM,03:30AM,Main Room,"The lights turn low and the beats go way up at Neko 
Nocturne, Ramencon's premier dance party! Light up the night with the best DJs from the Midwest and beyond, as they spin the hardest beats and the hottest new jams all night long! Featuring DJ's Kagamine, Scottaconda, Liquid 86 and more as well as Zettai Ryoiki-Chicago, throwing down for the most electrifying dance party experience ever! Get your dancing shoes and your glow sticks on, and join 
us on the dance floor tonight!"
Cosplay Foam Fighting,9/24/2016,10:30AM,12:30PM,Big Panel Room,"Cosplay Foam Fighting is a half-contact, live-action combat game. Combatants engage each other in battle with foam-padded boffer weapons and equipment. Come play games such as Big Teams, Capture the Flag, and King of the Hill. (all ages allowed as spectators. Must be 18+ to participate. Anyone under 18+ must have parental or legal guardian consent before participating.) "
Hetalia Paint the World,9/24/2016,01:00PM,04:00PM,Big Panel Room,Your favourite nations are back for their 6th year in a row to bring you some fun and craziness! Join us as we take you on a magical trip to Hogwarts this year. Pottertalia is here!!! 
No means No: Self-Defence for Anime Fans,9/24/2016,04:30PM,05:30PM,Big Panel Room,"NO Means NO! Saying it is good. Enforcing it is better! Women (and men) have a right to their own personal space and safety, and when unpleasantness occurs it's nice to be able to protact yourself. Come learn easy, simple but effective techniques from Samurai Dan's overenthusiastic partner Jillian that will make your con experiences safer and more enjoyable! "
The way of the Samurai,9/24/2016,05:30PM,07:30PM,Big Panel Room,"The almost mystical martial arts of Japan's greatest warriors, brought to life by professional martial artists. Watch Samurai Dan & Jillian present the Way of the Samurai, mixing combat and comedy in a dizzying trip to 16th century Japan. "
Analecta Concert,9/24/2016,08:00PM,09:00PM,Big Panel Room,Rock out with Analecta 
Hetalia After Dark 18+ PJ Party,9/24/2016,09:30PM,11:30PM,Big Panel Room,"Come and join your favourite nations for a PJ party! There will be games and a lot of laughs! Don't forget to wear your pajamas! [18+]

For the safety and the safety of other, we are not letting anyone video tape or take photos in any 18+ events. Also, Anyone caught with a camera or recording device will have to delete the footage (if deemed inappropriat content), and , if said device is not put away, the person or persons resonsible will be removed for the event and/or removed from Ramencon 2016. "
Black Butler His Butler After Dark 18+,9/25/2016,12:00AM,2:00AM,Big Panel Room,"After the lights go out and the young master is in bed, usually the episode is over. However, if the guests never leave and the camera never stops, can the day truly end for Sebastian and the other servants? I really do wonder what happens at the Phantomhive manor after dark?

For the safety and the safety of other, we are not letting anyone video tape or take photos in any 18+ events. Also, Anyone caught with a camera or recording device will have to delete the footage (if deemed inappropriat content), and , if said device is not put away, the person or persons resonsible will be removed for the event and/or removed from Ramencon 2016. "
Nerf Wars,9/25/2016,02:30AM,05:30AM,Big Panel Room,"The Gauntlet of Mattock
Wage war with your fellow con goers in Nerf Wars. Can you complete the gauntlet and beat the ""deadly"" obstacles and finish the boss at the end? Guns will be provided. Outside guns are allowed within reason.

Nerf Wars - Tactics
Come wage war with your fellow con goers! Join us in Capture the Flag and Kill the President, where planning and strategy is necessary to out maneuver the other side. Guns will be provided. Outside guns are allowed within reason."
Terrifying Moments in Childrens Movies,9/24/2016,11:30AM,12:30PM,Panel Room 1,"Yes, Virginia. There IS a Doggie Hell. And also, rats will totally eat babies, there IS a demon on that mountaintop, and your parents are probably dead. 14 Terrifying Moments in Children's Movies that Messed Us Up. Let's talk about more sad stuff, you guys! "
Anime name that tune,9/24/2016,01:00PM,03:00PM,Panel Room 1,"You know you love it: Guess the anime tune and you can win some swag! ""The Chumps"" host this year's Anime Name that Tune! Brush up on your anime music knowledge and be on your toes - you never know when recognizing the 13th opening to Fairy Tail will come in handy! "
GunxSword The Best Big Damb Space Western You've Probably Never Seen,9/24/2016,03:30PM,04:30PM,Panel Room 1,"GunXSword my favorite anime, and I'd like to make it yours. Do you like Outlaw Star? Trigun? Firefly? Then you'll probably love GunxSword! Great characters, a gorgeous soundtrack, and a well-thought-out world that unfolds as you watch and remember what went before."
Murder Mystery Meet-up,9/24/2016,05:00PM,06:30PM,Panel Room 1,"A murder has occured at RamenCon. The suspects are gathered, and it's up to you to help solve the case! This meet-up has all the suspects gathered in one place for interrogation! Come and get clues and get answers to your questions "
Hot Pepper Panel 2.0,9/24/2016,07:00PM,08:30PM,Panel Room 1,"Want to join in the fun of watching others inflict pain on themselves for your entertainment? Come to the Hot Pepper Panel, where lovers of all things geeky eat a hot pepper and then attempt to explain the plot line of different anime and video games! Fun, laughs, and tears from peppers will be guaranteed! "
Karaoke,9/24/2016,09:00PM,12:00AM,Panel Room 1,"Get those vocal chords ready for a night filled with anime-style karaoke! This event will feature over a thousand anime-related songs on-hand for you to choose from, or you can bring your own iPod or CD with music. Bring your friends and sing the night away! Whether you plan to sing or just want to sit back and be entertained, this is something you won't want to miss! "
Beyond Hatsune Miku An Introduction to Vocaloid,9/25/2016,12:30AM,02:00AM,Panel Room 1,"Come join HappyCosplayer and Japanicana83 as we put the spotlight on several ""lessor known"" Vocaloids, watch videos on YouTube, and have a fun time discussing the beauty and creativity of Vocaloid! Open Q&A at the end, along with a chance to try out the V3 or V4 engine yourself! Vocaloid cosplayers will be recognized and have a group photo taken! "
two rooms and a boom,9/25/2016,02:30AM,04:30AM,Panel Room 1,"Stop the president from being blown up! But who is the president? More importantly...who is the bomber? In this social game of hidden roles and deduction, players are divded into 2 different rooms. Find your teammates, establish trust, and exchange hostages before time runs out and the bomb explodes! In this fast paced game, rounds go quickly so you will not have to wait forever to join the next game. Come play with us, it's always a blast! "
So you want to Cosplay A panel for beginners,9/24/2016,11:00AM,12:00PM,Panel Room 2,"Is this your first time cosplaying? Or maybe you have cosplayed some, but you still have questions. This is the panel for you! Come join some of the staff of cosplayingcommunity.com as they discuss their experiences while cosplaying, as well as offer advice and take questions about anything cosplay related! "
Voice Directing/Producing Eric,9/24/2016,12:30PM,01:30PM,Panel Room 2,"A discussion on how the process works from start to finish. Casting, adapting, matching lip flap, the importance of director/actor interaction, choosing music, character development and continuity."
Sewing Mens Clothing,9/24/2016,02:00PM,03:00PM,Panel Room 2,"Cosplayers! Are you afraid sewing is unmanly? Are you interested in constructing men's clothing? Join Samaru for an informative panel discussing cosplay for males, covering the basics of sewing with a special emphasis on constructing men's garments. We will also cover the basics of crossplay. "
Grand Magic Games,9/24/2016,03:30PM,05:30PM,Panel Room 2,Come and join the Wizards of Fiore as they celebrate the Grand Magic Games! Participate in a team-based battle of wits and put your knowledge of Fairy Tail to the test! 
Collection Shopping Advice,9/24/2016,06:00PM,07:00PM,Panel Room 2,"Collecting official merchandise for what you love can be challenging, and sometimes even overwhelming. If you're in need of some guidance, stop buy and we will give you some hot tips on how to work on your collection! Featuring advice primarily focused on collecting anime figures, this panel should give you the knowledge to shop confidently. Panel hosted by ""Virtual Pet Pool Party."" "
Kaiju Giant Monsters,9/24/2016,07:00PM,08:00PM,Panel Room 2,"Don't you love it when two giant monsters fight? Would you like to see what others think of different match-ups? Then there is no place to be other than this panel! Come, suggest a fighter, and watch as other fans of giant fights argue over who is the greatest fighter ever! Don't miss your chance to be crowned! Panel hosted by ""Virtual Pet Pool Party."" "
Eric Stuart Accustic preformance,9/24/2016,08:30PM,09:30PM,Panel Room 2,Eric Stuart Rocks out with his Accustic Preformance. 
Death Note Mafia,9/24/2016,10:00PM,12:00AM,Panel Room 2,"Come play as Death Note characters in this interpretation of the party game where you must work with a team who could betray you at any moment. In each round, the randomly chosen Kira anonymously removes a player, then all remaining players deliberate who should be sacrificed in the hopes of eliminating Kira. The rules will be explained, so prior knowledge of the game and the series is not necessary. Can the investigators defeat Kira without falling prey to the Death Note? "
18+ Hentai Mystery Theater 3000 ,9/25/2016,12:30AM,03:00AM,Panel Room 2,"If you love making fun of hentai, come on down to Mystery Hentai Theater 3000! This panel is based off of ""Mystery Science,"" where your host, Otaka Mayru, and 2 guests will be watching hentai and poking fun at the genre. [18+]

For the safety and the safety of other, we are not letting anyone video tape or take photos in any 18+ events. Also, Anyone caught with a camera or recording device will have to delete the footage (if deemed inappropriat content), and , if said device is not put away, the person or persons resonsible will be removed for the event and/or removed from Ramencon 2016. "
Shinra 101(FF7 Panel),9/24/2016,10:30AM,12:30PM,Panel Room 3,"ATTENTION CITIZENS OF MIDGAR: I, President Rufus Shinra, will be hosting an informational panel on the inner workings of Shinra Electric Power Company. Please join my Turks and I to learn about the available positions, everyday duties and expectations, and ask questions of us in regards to anything mentioned above. (A FF7 Character Q&A) "
VIP only group Autograph,9/24/2016,01:00PM,03:00PM,Panel Room 3,"This is a Private Group Autograph for Premium Badges. With Spike Spencer, Jake Paque, and Jad Saxton! Be sure to bring something with you to be autographed.

Eric Stuart will not be in this panel. He will be signing autographs at his table front the Dealers room when he is there. "
A Primer to Doctor Who,9/24/2016,03:30PM,05:00PM,Panel Room 3,"""All of time and space. Anything that has ever happened or ever will. Where do you want to start?"" Over 50 years of Doctor Who, and whether you know nothing about the show or have been with it for years, this panel will help you know a liitle about each of the 13 Doctors and monsters and battles that have been fought along the way. Make sure to bring your sonic screwdrivers and be ready for a panel of wibbly wobbly, timey wimey... stuff. "
Autograph with Jad Saxton,9/24/2016,05:30PM,06:30PM,Panel Room 3,Come on by and get autographs with Jad Saxton! Be sure to bring something with you to be signed. Limit of two items per person. Thank you. 
Jad Saxton Q&A Panel,9/24/2016,06:30PM,07:30PM,Panel Room 3,answering all attendees' questions about the anime industry and voice acting business in general.
